Date (UTC+1:00),Token,Type,Price (EUR),Amount,Total value (EUR),Fee,Fee Currency,Notes
"2024-10-16 12:40:00","USDT","sell","0.9329","28.27","26.37","0.","USD",""
"2024-10-16 12:40:00","IOTA","buy","0.1151","229.00","26.38","0.","USD",""
"2024-09-16 08:55:00","USDT","sell","0.9329","59.34","55.36","0.","USD",""
"2024-09-16 08:55:00","ETH","buy","2,137.82","0.0259","55.37","0.","USD",""
"2024-08-16 08:55:00","USDT","sell","0.9329","26.97","25.16","0.","USD",""
"2024-08-16 08:55:00","ATA","buy","0.06624","380.00","25.17","0.","USD",""
"2024-08-15 09:40:00","USDT","sell","0.9329","14.58","13.60","0.","USD",""
"2024-08-15 09:40:00","LTC","buy","59.69","0.228","13.61","0.","USD",""
"2024-08-12 09:40:00","USDT","sell","0.9329","8.4990","7.9293","0.","USD",""
"2024-08-12 08:05:00","USDT","sell","0.9329","23.19","21.64","0.","USD",""
"2024-08-12 08:05:00","USDT","sell","0.9329","5.6180","5.2414","0.","USD",""
"2024-08-12 08:05:00","USDT","sell","0.9329","5.9060","5.5101","0.","USD",""
"2024-08-12 08:00:00","SOL","buy","134.40","0.059","7.9298","0.","USD",""
"2024-08-12 08:00:00","SOL","buy","134.40","0.041","5.5105","0.","USD",""
"2024-08-12 08:00:00","SOL","buy","134.40","0.039","5.2417","0.","USD",""
"2024-08-12 08:00:00","SOL","buy","134.40","0.161","21.64","0.","USD",""
"2024-08-09 15:50:00","TAO","buy","276.06","0.1351","37.30","0.","USD",""
"2024-08-09 14:10:00","USDT","sell","0.9329","39.97","37.29","--","",""
"2024-08-08 23:40:00","FTM","buy","0.3065","140.00","42.92","0.","USD",""
"2024-08-08 23:15:00","AI","buy","0.2817","66.20","18.65","--","",""
"2024-08-08 14:10:00","USDT","sell","0.9329","46.00","42.92","--","",""
"2024-08-08 14:10:00","USDT","sell","0.9329","19.99","18.65","--","",""
"2024-08-07 23:20:00","HBAR","buy","0.05252","177.00","9.2971","--","",""
"2024-08-07 23:20:00","TRU","buy","0.08312","112.00","9.3103","--","",""
"2024-08-07 23:15:00","TFUEL","buy","0.05202","179.00","9.3120","--","",""
"2024-08-07 23:15:00","TAO","buy","247.33","0.0188","4.6498","--","",""
"2024-08-07 23:15:00","ENA","buy","0.2630","17.73","4.6647","--","",""
"2024-08-07 23:15:00","CVC","buy","0.07836","59.00","4.6238","--","",""
"2024-08-07 23:15:00","LTO","buy","0.09003","207.00","18.64","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","9.9650","9.2970","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","9.9790","9.3101","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","9.9810","9.3119","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","4.9830","4.6490","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","4.9990","4.6639","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","4.9560","4.6238","--","",""
"2024-08-07 14:10:00","USDT","sell","0.9329","19.97","18.63","--","",""
"2024-08-05 23:15:00","IRIS","buy","0.01195","1,211.10","14.47","--","",""
"2024-08-05 23:15:00","ETH","buy","2,249.09","0.0207","46.56","--","",""
"2024-08-05 23:15:00","POLYX","buy","0.1679","111.10","18.66","--","",""
"2024-08-05 23:15:00","BTC","buy","49,985.66","0.00149","74.48","--","",""
"2024-08-05 23:15:00","IOTA","buy","0.1119","166.00","18.58","--","",""
"2024-08-05 23:15:00","LTO","buy","0.08387","222.00","18.62","--","",""
"2024-08-05 23:15:00","BAT","buy","0.1432","130.00","18.62","--","",""
"2024-08-05 14:10:00","USDT","sell","0.9329","15.51","14.47","--","",""
"2024-08-05 14:05:00","USDT","sell","0.9329","49.90","46.56","--","",""
"2024-08-05 14:05:00","USDT","sell","0.9329","19.99","18.65","--","",""
"2024-08-05 14:05:00","USDT","sell","0.9329","79.82","74.47","--","",""
"2024-08-05 14:05:00","USDT","sell","0.9329","19.91","18.58","--","",""
"2024-08-05 14:05:00","USDT","sell","0.9329","19.95","18.61","--","",""
"2024-08-05 14:05:00","USDT","sell","0.9329","19.95","18.61","--","",""
"2024-07-24 23:10:00","LTO","buy","0.1141","308.00","35.16","--","",""
"2024-07-24 14:05:00","USDT","sell","0.9329","37.68","35.15","--","",""
"2024-07-16 23:10:00","IOTA","buy","0.1594","295.00","47.02","--","",""
"2024-07-16 23:10:00","HBAR","buy","0.07361","63.00","4.6375","--","",""
"2024-07-16 14:05:00","USDT","sell","0.9329","50.40","47.02","--","",""
"2024-07-16 14:05:00","USDT","sell","0.9329","4.9700","4.6368","--","",""
"2024-07-06 23:10:00","BTC","buy","52,690.19","0.00158","83.25","--","",""
"2024-07-06 23:10:00","ONG","buy","0.2615","71.00","18.57","--","",""
"2024-07-06 14:05:00","USDT","sell","0.9329","89.23","83.25","--","",""
"2024-07-06 14:05:00","USDT","sell","0.9329","19.90","18.57","--","",""
"2024-06-28 23:10:00","ATA","buy","0.1015","464.00","47.10","--","",""
"2024-06-28 23:10:00","CVC","buy","0.09982","186.00","18.57","--","",""
"2024-06-28 23:10:00","POLYX","buy","0.2672","69.80","18.65","--","",""
"2024-06-28 23:10:00","LTO","buy","0.1261","221.00","27.88","--","",""
"2024-06-28 23:10:00","ONG","buy","0.3416","81.00","27.67","--","",""
"2024-06-28 14:05:00","USDT","sell","0.9329","50.48","47.10","--","",""
"2024-06-28 14:05:00","USDT","sell","0.9329","19.90","18.57","--","",""
"2024-06-28 14:05:00","USDT","sell","0.9329","19.99","18.65","--","",""
"2024-06-28 14:00:00","USDT","sell","0.9329","29.87","27.87","--","",""
"2024-06-28 14:00:00","USDT","sell","0.9329","29.66","27.67","--","",""
"2024-06-11 23:05:00","ATA","buy","0.1299","287.00","37.30","--","",""
"2024-06-11 14:00:00","USDT","sell","0.9329","39.97","37.29","--","",""
"2024-05-06 23:05:00","MATIC","buy","0.6886","27.00","18.59","--","",""
"2024-05-06 23:05:00","VANRY","buy","0.1859","60.00","11.15","--","",""
"2024-05-06 14:00:00","USDT","sell","0.9329","19.92","18.58","--","",""
"2024-05-06 14:00:00","USDT","sell","0.9329","11.95","11.15","--","",""
"2024-05-03 23:05:00","LTO","buy","0.1692","200.00","33.85","--","",""
"2024-05-03 14:00:00","USDT","sell","0.9329","36.28","33.85","--","",""
"2024-05-02 23:05:00","BTC","buy","50,901.83","0.0015","76.35","--","",""
"2024-05-02 14:00:00","USDT","sell","0.9329","81.83","76.34","--","",""
"2024-04-26 23:05:00","ATA","buy","0.2074","131.00","27.17","--","",""
"2024-04-26 14:00:00","USDT","sell","0.9329","29.12","27.17","--","",""
"2024-04-25 23:05:00","IOTA","buy","0.1898","244.00","46.33","--","",""
"2024-04-25 23:05:00","ATA","buy","0.1306","344.00","44.93","--","",""
"2024-04-25 14:00:00","USDT","sell","0.9329","49.65","46.32","--","",""
"2024-04-25 14:00:00","USDT","sell","0.9329","48.16","44.93","--","",""
"2024-04-24 23:05:00","BTC","buy","55,791.37","0.00133","74.20","--","",""
"2024-04-24 23:05:00","HBAR","buy","0.1297","35.00","4.5421","--","",""
"2024-04-24 14:00:00","USDT","sell","0.9329","79.53","74.20","--","",""
"2024-04-24 14:00:00","USDT","sell","0.9329","4.8680","4.5417","--","",""
"2024-04-18 23:05:00","ONG","buy","0.4491","15.00","6.7369","--","",""
"2024-04-18 14:00:00","USDT","sell","0.9329","7.2210","6.7369","--","",""
"2024-04-15 23:05:00","IOTA","buy","0.2268","205.00","46.49","--","",""
"2024-04-15 23:00:00","PYTH","buy","0.5915","27.40","16.21","--","",""
"2024-04-15 14:00:00","USDT","sell","0.9329","49.83","46.49","--","",""
"2024-04-15 13:55:00","USDT","sell","0.9329","17.37","16.21","--","",""
"2024-04-13 23:00:00","BTC","buy","57,773.21","0.00037","21.38","--","",""
"2024-04-13 13:55:00","USDT","sell","0.9329","22.91","21.37","--","",""
"2024-04-12 23:00:00","ETHFI","sell","4.7805","1.3000","6.2147","--","",""
"2024-04-12 23:00:00","TAO","buy","596.63","0.0078","4.6537","--","",""
"2024-04-12 13:55:00","USDT","buy","0.9329","6.6610","6.2145","--","",""
"2024-04-12 13:55:00","USDT","sell","0.9329","4.9880","4.6536","--","",""
"2024-04-11 23:00:00","ATA","sell","0.2629","20.00","5.2582","--","",""
"2024-04-11 13:55:00","USDT","buy","0.9329","5.6360","5.2582","--","",""
"2024-04-09 23:00:00","FTM","buy","0.9329","15.00","13.99","--","",""
"2024-04-09 23:00:00","BTC","buy","62,508.72","0.00029","18.13","--","",""
"2024-04-09 13:55:00","USDT","sell","0.9329","15.00","13.99","--","",""
"2024-04-09 13:55:00","USDT","sell","0.9329","19.43","18.13","--","",""
"2024-04-08 23:00:00","ORN","buy","2.2725","4.1000","9.3173","--","",""
"2024-04-08 13:55:00","USDT","sell","0.9329","9.9860","9.3166","--","",""
"2024-04-07 23:00:00","TRU","buy","0.1469","38.00","5.5838","--","",""
"2024-04-07 13:55:00","USDT","sell","0.9329","5.9850","5.5838","--","",""
"2024-04-06 23:00:00","TFUEL","buy","0.09249","80.00","7.3995","--","",""
"2024-04-06 22:55:00","ENA","buy","1.0281","7.2500","7.4539","--","",""
"2024-04-06 13:55:00","USDT","sell","0.9329","7.9310","7.3994","--","",""
"2024-04-06 13:55:00","USDT","sell","0.9329","7.9890","7.4535","--","",""
"2024-04-05 22:55:00","IRIS","buy","0.03321","561.70","18.66","--","",""
"2024-04-05 13:55:00","USDT","sell","0.9329","19.99","18.65","--","",""
"2024-04-03 22:55:00","ATA","sell","0.2145","45.00","9.6562","--","",""
"2024-04-03 13:55:00","USDT","buy","0.9329","10.35","9.6562","--","",""
"2024-04-02 22:55:00","ETH","buy","2,953.74","0.008","23.63","--","",""
"2024-04-02 22:55:00","ATA","buy","0.1492","100.00","14.93","--","",""
"2024-04-02 22:55:00","BAT","buy","0.2644","20.00","5.2881","--","",""
"2024-04-02 22:55:00","BTC","buy","61,079.49","0.0007","42.76","--","",""
"2024-04-02 22:55:00","IOTA","buy","0.2715","20.00","5.4317","--","",""
"2024-04-02 13:50:00","USDT","sell","0.9329","25.32","23.62","--","",""
"2024-04-02 13:50:00","USDT","sell","0.9329","16.00","14.93","--","",""
"2024-04-02 13:50:00","USDT","sell","0.9329","5.6670","5.2871","--","",""
"2024-04-02 13:50:00","USDT","sell","0.9329","45.82","42.75","--","",""
"2024-04-02 13:50:00","USDT","sell","0.9329","5.8220","5.4317","--","",""
"2024-03-30 22:55:00","BTC","buy","61,470.67","0.00066","40.57","--","",""
"2024-03-30 22:55:00","IOTA","buy","0.3028","150.00","45.43","--","",""
"2024-03-30 22:55:00","ATA","buy","0.1616","80.00","12.93","--","",""
"2024-03-30 13:50:00","USDT","sell","0.9329","43.48","40.57","--","",""
"2024-03-30 13:50:00","USDT","sell","0.9329","48.69","45.43","--","",""
"2024-03-30 13:50:00","USDT","sell","0.9329","13.86","12.93","--","",""
"2024-03-28 22:50:00","BAT","buy","0.3184","53.00","16.88","--","",""
"2024-03-28 13:50:00","USDT","sell","0.9329","18.08","16.87","--","",""
"2024-03-27 22:50:00","OM","sell","1.2680","4.0000","5.0720","--","",""
"2024-03-27 13:50:00","USDT","buy","0.9329","5.4360","5.0716","--","",""
"2024-03-26 22:50:00","ETHFI","sell","5.8833","1.2000","7.0599","--","",""
"2024-03-26 22:50:00","OM","sell","0.8956","6.0000","5.3739","--","",""
"2024-03-26 22:50:00","CVC","buy","0.2635","21.00","5.5348","--","",""
"2024-03-26 13:50:00","USDT","buy","0.9329","7.5670","7.0598","--","",""
"2024-03-26 13:45:00","USDT","buy","0.9329","5.7600","5.3739","--","",""
"2024-03-26 13:45:00","USDT","sell","0.9329","5.9320","5.5344","--","",""
"2024-03-23 22:50:00","WNXM","buy","64.37","0.08","5.1500","--","",""
"2024-03-23 13:45:00","USDT","sell","0.9329","5.5200","5.1500","--","",""
"2024-03-21 22:50:00","VANRY","buy","0.2792","20.00","5.5857","--","",""
"2024-03-21 22:50:00","OM","buy","0.5592","10.00","5.5924","--","",""
"2024-03-21 22:50:00","LTO","buy","0.1628","30.00","4.8841","--","",""
"2024-03-21 22:50:00","OOKI","buy","0.003007","2,000.00","6.0158","--","",""
"2024-03-21 22:50:00","POLYX","buy","0.3517","13.50","4.7483","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.9870","5.5857","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.9940","5.5922","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.2340","4.8831","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","6.4470","6.0148","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.0890","4.7479","--","",""
"2024-03-20 22:45:00","ETHFI","buy","3.7039","2.5000","9.2597","--","",""
"2024-03-20 13:45:00","USDT","sell","0.9329","9.9250","9.2597","--","",""
"2024-03-19 22:45:00","ETH","buy","2,908.99","0.007","20.36","--","",""
"2024-03-19 22:45:00","BTC","buy","59,482.53","0.0008","47.59","--","",""
"2024-03-19 13:45:00","USDT","sell","0.9329","21.82","20.36","--","",""
"2024-03-19 13:45:00","USDT","sell","0.9329","51.00","47.58","--","",""
"2024-03-18 22:45:00","ETH","buy","3,125.44","0.0025","7.8136","--","",""
"2024-03-18 22:45:00","AI","buy","1.4927","6.0000","8.9565","--","",""
"2024-03-18 13:45:00","USDT","sell","0.9329","8.3750","7.8136","--","",""
"2024-03-18 13:40:00","USDT","sell","0.9329","9.6000","8.9565","--","",""
"2024-03-17 22:45:00","BNB","buy","530.30","0.011","5.8333","--","",""
"2024-03-17 13:40:00","USDT","sell","0.9329","6.2520","5.8329","--","",""
"2024-03-15 22:45:00","BTC","buy","61,062.62","0.00025","15.27","--","",""
"2024-03-15 13:40:00","USDT","sell","0.9329","16.36","15.26","--","",""
"2024-03-13 22:45:00","AI","buy","1.8473","5.0000","9.2364","--","",""
"2024-03-13 22:45:00","ETH","buy","3,776.71","0.0021","7.9311","--","",""
"2024-03-13 22:40:00","BTC","buy","65,307.62","0.00022","14.37","--","",""
"2024-03-13 22:40:00","BTC","sell","68,526.35","0.00021","14.39","--","",""
"2024-03-13 13:40:00","USDT","sell","0.9329","9.9000","9.2364","--","",""
"2024-03-13 13:40:00","USDT","sell","0.9329","8.5000","7.9302","--","",""
"2024-03-13 13:40:00","USDT","sell","0.9329","15.40","14.37","--","",""
"2024-03-13 13:40:00","USDT","buy","0.9329","15.42","14.39","--","",""
"2024-03-12 22:40:00","BTC","buy","65,956.96","0.00021","13.85","--","",""
"2024-03-12 13:40:00","USDT","sell","0.9329","14.84","13.85","--","",""
"2024-03-11 22:40:00","BTC","sell","68,013.22","0.00012","8.1616","--","",""
"2024-03-11 22:40:00","BTC","buy","67,239.34","0.00013","8.7411","--","",""
"2024-03-11 13:40:00","USDT","buy","0.9329","8.7480","8.1616","--","",""
"2024-03-11 13:40:00","USDT","sell","0.9329","9.3690","8.7410","--","",""